文章标题,抽象的
MultiResUNet：重新思考用于多模态生物医学图像分割的 U-Net 架构,近年来，深度学习在医学图像分割方面取得了突破。在这方面，U-Net 一直是医学影像界最流行的架构。尽管在分割多模态医学图像方面具有出色的整体性能，但通过对一些具有挑战性的数据集的广泛实验，我们证明了经典的 U-Net 架构似乎在某些方面缺乏。因此，我们提出了一些修改，以改进已经最先进的 U-Net 模型。在这些修改之后，我们开发了一种新颖的架构 MultiResUNet，作为 U-Net 架构的潜在继任者。我们已经在大量多模态医学图像上测试并比较了 MultiResUNet 与经典 U-Net。尽管在理想图像的情况下只注意到了轻微的改进，但对于具有挑战性的图像，性能却取得了显着的进步。我们在五个不同的数据集上评估了我们的模型，每个数据集都有自己独特的挑战，并分别获得了 10.15%、5.07%、2.63%、1.41% 和 0.62% 的性能相对提升。我们还讨论并强调了 MultiResUNet 在质量上优于经典 U-Net 的一些方面，这些方面并未真正反映在定量测量中。 (C) 2019 Elsevier Ltd. 保留所有权利。
nnU-Net：一种基于深度学习的生物医学图像分割的自配置方法,nnU-Net 是一种基于深度学习的图像分割方法，可自动配置自身以完成各种生物和医学图像分割任务。 nnU-Net 作为开箱即用的工具提供最先进的性能。生物医学成像是科学发现的驱动力和医疗保健的核心组成部分，并受到深度学习领域的刺激。虽然语义分割算法可以在许多应用中进行图像分析和量化，但各自专业解决方案的设计并非易事，并且高度依赖于数据集属性和硬件条件。我们开发了 nnU-Net，这是一种基于深度学习的分割方法，可以自动配置自身，包括任何新任务的预处理、网络架构、训练和后处理。此过程中的关键设计选择被建模为一组固定参数、相互依赖的规则和经验决策。在没有人工干预的情况下，nnU-Net 超越了大多数现有方法，包括针对国际生物医学分割竞赛中使用的 23 个公共数据集的高度专业化解决方案。我们将 nnU-Net 作为开箱即用的工具公开提供，无需专家知识或超出标准网络培训的计算资源，即可为广大受众提供最先进的分割。
CYP1A2 基因型多态性影响咖啡因对受过训练的男性厌氧性能的影响,"目的是研究 CYP1A2 -163C > A 多态性对接受过训练的男性补充急性咖啡因 (CAF) 对无氧能力的影响。 16 名训练有素的男性（年龄：21.6 +/- 7.1 岁；身高：179.7 +/- 5.6 厘米；体重：72.15 +/- 6.8 公斤）参与了一项随机、双盲、安慰剂 (PLA) 控制的交叉设计。参与者以随机顺序补充 CAF（6 mg/kg 体重）和等容 PLA（麦芽糊精）并间隔 7 天，然后进行 30 秒无氧循环测试以确定峰值、平均和最小功率输出, 和疲劳指数。提取基因组脱氧核糖核酸以识别每个参与者的 CYP1A2 基因型。六名参与者表达AA纯合子，十名表达C等位基因。通过基因型相互作用对峰值功率输出进行治疗（p = .041，eta 2 = .265，观察功率 = 0.552），仅表达 AA 基因型的患者在补充 CAF 后与 PLA 相比有所改善（CAF：693 +/- 108瓦与 PLA：655 +/- 97 瓦；p = .039），而在表达 C 等位基因的那些治疗之间没有发现差异（CAF：614 +/- 92 瓦与 PLA：659 +/- 144 瓦； p = .135）。平均或最小功率输出或疲劳指数没有其他交互作用或主要影响 (p > .05)。总之，与 PLA 相比，仅 AA 基因型参与者摄入 6 mg/kg CAF 可提高峰值功率输出；然而，CYP1A2 的表达不影响平均或最小功率输出或疲劳指数。"
用于视觉识别的深度高分辨率表示学习,高分辨率表示对于位置敏感的视觉问题至关重要，例如人体姿态估计、语义分割和对象检测。现有的最先进的框架首先通过一个子网络将输入图像编码为低分辨率表示，该子网络通过串联连接高分辨率到低分辨率的卷积（例如，ResNet、VGGNet）形成，然后恢复高分辨率- 来自编码的低分辨率表示的分辨率表示。相反，我们提出的网络，称为高分辨率网络（HRNet），在整个过程中保持高分辨率表示。有两个关键特征：（i）并行连接从高分辨率到低分辨率的卷积流，以及（ii）跨分辨率重复交换信息。好处是生成的表示在语义上更丰富，在空间上更精确。我们展示了所提出的 HRNet 在广泛的应用中的优越性，包括人体姿态估计、语义分割和对象检测，这表明 HRNet 是计算机视觉问题的更强大的主干。所有代码都可以在 https://github.com/HRNet 上找到。
3D 点云的深度学习：调查,点云学习最近因其在计算机视觉、自动驾驶和机器人技术等许多领域的广泛应用而受到越来越多的关注。作为人工智能的主导技术，深度学习已成功用于解决各种二维视觉问题。然而，由于使用深度神经网络处理点云所面临的独特挑战，点云的深度学习仍处于起步阶段。最近，点云的深度学习变得更加蓬勃发展，提出了许多方法来解决该领域的不同问题。为了激发未来的研究，本文全面回顾了点云深度学习方法的最新进展。它涵盖了三个主要任务，包括 3D 形状分类、3D 对象检测和跟踪以及 3D 点云分割。它还展示了几个公开可用的数据集的比较结果，以及有见地的观察和启发未来的研究方向。
UNet plus plus：重新设计跳过连接以利用图像分割中的多尺度特征,最先进的医学图像分割模型是 U-Net 和全卷积网络 (FCN) 的变体。尽管它们取得了成功，但这些模型有两个局限性：（1）它们的最佳深度是先验未知的，需要广泛的架构搜索或不同深度模型的低效集成； (2) 它们的跳跃连接强加了一种不必要的限制性融合方案，仅在编码器和解码器子网络的相同尺度特征图上强制聚合。为了克服这两个限制，我们提出了 UNet++，一种用于语义和实例分割的新神经架构，通过 (1) 使用不同深度的 U-Net 的有效集合来减轻未知网络深度，这些 U-Net 部分共享编码器和共同学习同时使用深度监督； (2) 重新设计跳跃连接以聚合解码器子网络中不同语义尺度的特征，从而实现高度灵活的特征融合方案； (3) 设计一种剪枝方案来加快 UNet++ 的推理速度。我们使用六种不同的医学图像分割数据集评估了 UNet++，涵盖了计算机断层扫描 (CT)、磁共振成像 (MRI) 和电子显微镜 (EM) 等多种成像模式，并证明 (1) UNet++ 始终优于基线模型用于跨不同数据集和主干架构的语义分割任务； （2）UNet++提高了不同大小对象的分割质量——对固定深度U-Net的改进； （3）Mask RCNN++（Mask R-CNN with UNet++ design）在实例分割任务上优于原始Mask R-CNN； (4) 修剪后的 UNet++ 模型实现了显着的加速，同时仅表现出适度的性能下降。我们的实现和预训练模型可在 https://github.com/MrGiovanni/UNetPlusPlus 获得。
GOT-10k：野外通用对象跟踪的大型高多样性基准,"我们在这里介绍一个大型跟踪数据库，该数据库提供了前所未有的广泛覆盖范围内的常见运动物体，称为 GOT-10k。具体来说，GOT-10k 建立在 WordNet 结构 [1] 的主干之上，它填充了超过 560 类移动物体和 87 种运动模式中的大多数，其幅度比最近的类似规模的对应物要宽 [19]、[20] ，[23]，[26]。通过发布大型高多样性数据库，我们旨在为与类别无关的通用短期跟踪器的开发提供统一的培训和评估平台。 GOT-10k 的特点和本文的贡献总结如下。 (1) GOT-10k 提供超过 10,000 个视频片段和超过 150 万个手动标记的边界框，实现深度跟踪器的统一训练和稳定评估。 (2) GOT-10k 是迄今为止第一个使用 WordNet 的语义层次来引导类种群的视频轨迹数据集，它确保了对各种运动物体的全面且相对无偏的覆盖。 (3) GOT-10k 首次引入了用于跟踪器评估的 one-shot 协议，其中训练和测试类是零重叠的。该协议避免了对熟悉对象的有偏见的评估结果，并促进了跟踪器开发的泛化。 (4) GOT-10k 提供额外的标签，例如运动类别和对象可见比率，促进运动感知和遮挡感知跟踪器的开发。 (5) 我们在 GOT-10k 上对 39 种典型的跟踪算法及其变体进行了广泛的跟踪实验，并在本文中分析了它们的结果。 (6) 最后，我们为跟踪社区开发了一个综合平台，提供功能齐全的评估工具包、在线评估服务器和响应式排行榜。 GOT-10k 测试数据的注释是保密的，以避免在其上调整参数。"
使用受激拉曼组织学和深度神经网络进行近实时术中脑肿瘤诊断,"术中诊断对于在癌症手术期间提供安全有效的护理至关重要 (1)。现有的基于处理组织的苏木精和伊红染色的术中诊断工作流程是时间、资源和劳动密集型的 (2,3)。此外，术中组织学图像的解释依赖于收缩的、分布不均的病理工作人员 (4)。在本研究中，我们报告了一个并行工作流程，该工作流程结合了受激拉曼组织学 (SRH) (5-7)、一种无标记光学成像方法和深度卷积神经网络 (CNN)，以近乎实时地预测床边的诊断以自动化的方式。具体来说，我们的 CNN 训练了超过 250 万张 SRH 图像，可以在 150 秒内预测手术室中的脑肿瘤诊断，比传统技术快一个数量级（例如，20-30 分钟）（2）。在一项多中心、前瞻性临床试验（n = 278）中，我们证明基于 CNN 的 SRH 图像诊断不劣于基于病理学家的传统组织学图像解释（总体准确率，94.6% 对 93.9%）。我们的 CNN 学习了可识别的组织学特征表示的层次结构，以对脑肿瘤的主要组织病理学类别进行分类。此外，我们实施了一种语义分割方法来识别 SRH 图像中肿瘤浸润的诊断区域。这些结果证明了如何简化术中癌症诊断，为组织诊断创造一条独立于传统病理学实验室的补充途径。一项前瞻性、多中心、病例对照临床试验评估了人工智能为患者提供准确床边诊断的潜力患有脑肿瘤。"
ResUNet-a：遥感数据语义分割的深度学习框架,高分辨率航空影像的场景理解对于各种遥感应用中的自动监测任务具有重要意义。由于感兴趣对象的像素值的类内和类间差异较大，这仍然是一项具有挑战性的任务。近年来，深度卷积神经网络已开始用于遥感应用，并展示了对象像素级分类的最先进性能。在这里，我们为单时间极高分辨率航空图像的语义分割任务提出了一个可靠的高性能结果框架。我们的框架由一个新的深度学习架构 ResUNet-a 和一个基于 Dice 损失的新损失函数组成。 ResUNet-a 使用 UNet 编码器/解码器主干，结合残差连接、atrous 卷积、金字塔场景解析池和多任务推理。 ResUNet-a 依次推断对象的边界、分割掩码的距离变换、分割掩码和输入的彩色重建。每个任务都以先前任务的推理为条件，从而在各种任务之间建立条件关系，正如通过架构的计算图描述的那样。我们分析了几种用于语义分割的广义骰子损失的性能，并为对象的语义分割引入了一种新的变体损失函数，该函数具有出色的收敛性，即使在存在高度不平衡的类的情况下也表现良好。我们的建模框架的性能在 ISPRS 2D Potsdam 数据集上进行评估。结果显示，我们的最佳模型在所有类别中的平均 F1 分数为 92.9%，具有最先进的性能。
用于地理大数据应用的 Google 地球引擎：荟萃分析和系统评价,Google Earth Engine (GEE) 是一个基于云的地理空间处理平台，用于大规模环境监测和分析。免费使用的 GEE 平台通过浏览器 Web 应用程序提供对 (1) PB 的公开遥感图像和其他即用型产品的访问； (2) 使用谷歌计算基础设施的高速并行处理和机器学习算法； (3) 应用程序编程接口 (API) 库，其开发环境支持 JavaScript 和 Python 等流行的编码语言。这些核心功能使用户能够以强大的方式发现、分析和可视化地理空间大数据，而无需访问超级计算机或专业的编码专业知识。 GEE的发展为遥感和地理空间数据科学领域带来了极大的热情和参与。然而，自 GEE 推出十年后，它对遥感和地理空间科学的影响仍未得到仔细探索。因此，需要对 GEE 进行系统回顾，以便为读者提供 GEE 现状和总体趋势的总体情况。为此，决定对最近经过同行评审的 GEE 文章进行荟萃分析调查，重点关注几个特征，包括数据、传感器类型、研究区域、空间分辨率、应用、策略和分析方法。对 2010 年至 2019 年 10 月期间在 146 种不同期刊上发表的共 349 篇同行评议文章进行了审核。出版物和地理分布趋势显示了在区域和全球范围内环境分析的广泛应用。 90% 的研究使用了遥感数据集，而 10% 的文章使用了现成的产品进行分析。具有中等空间分辨率的光学卫星图像，特别是存档超过 40 年的 Landsat 数据，已被广泛使用。线性回归和随机森林是最常用的卫星图像处理算法。在即用型产品中，27% 的植被、作物、土地覆盖制图和干旱监测研究使用了标准化差异植被指数 (NDVI)。这项研究的结果证实，GEE 已经并将继续在涉及地理大数据过程的全球挑战方面取得实质性进展。
