Article Title,"Times Cited, All Databases",Publication Time,Abstract,DOI
MultiResUNet：重新思考用于多模态生物医学图像分割的 U-Net 架构,369,2020 JAN 2020,近年来，深度学习在医学图像分割方面取得了突破。在这方面，U-Net 一直是医学影像界最流行的架构。尽管在分割多模态医学图像方面具有出色的整体性能，但通过对一些具有挑战性的数据集的广泛实验，我们证明了经典的 U-Net 架构似乎在某些方面缺乏。因此，我们提出了一些修改，以改进已经最先进的 U-Net 模型。在这些修改之后，我们开发了一种新颖的架构 MultiResUNet，作为 U-Net 架构的潜在继任者。我们已经在大量多模态医学图像上测试并比较了 MultiResUNet 与经典 U-Net。尽管在理想图像的情况下只注意到了轻微的改进，但对于具有挑战性的图像，性能却取得了显着的进步。我们在五个不同的数据集上评估了我们的模型，每个数据集都有自己独特的挑战，并分别获得了 10.15%、5.07%、2.63%、1.41% 和 0.62% 的性能相对提升。我们还讨论并强调了 MultiResUNet 在质量上优于经典 U-Net 的一些方面，这些方面并未真正反映在定量测量中。 (C) 2019 Elsevier Ltd. 保留所有权利。,10.1016/j.neunet.2019.08.025
用于视觉识别的深度高分辨率表示学习,267,2021 OCT 1 2021,高分辨率表示对于位置敏感的视觉问题至关重要，例如人体姿态估计、语义分割和对象检测。现有的最先进的框架首先通过一个子网络将输入图像编码为低分辨率表示，该子网络通过串联连接高分辨率到低分辨率的卷积（例如，ResNet、VGGNet）形成，然后恢复高分辨率- 来自编码的低分辨率表示的分辨率表示。相反，我们提出的网络，称为高分辨率网络（HRNet），在整个过程中保持高分辨率表示。有两个关键特征：（i）并行连接从高分辨率到低分辨率的卷积流，以及（ii）跨分辨率重复交换信息。好处是生成的表示在语义上更丰富，在空间上更精确。我们展示了所提出的 HRNet 在广泛的应用中的优越性，包括人体姿态估计、语义分割和对象检测，这表明 HRNet 是计算机视觉问题的更强大的主干。所有代码都可以在 https://github.com/HRNet 上找到。,10.1109/TPAMI.2020.2983686
ResUNet-a：遥感数据语义分割的深度学习框架,162,2020 APR 2020,高分辨率航空影像的场景理解对于各种遥感应用中的自动监测任务具有重要意义。由于感兴趣对象的像素值的类内和类间差异较大，这仍然是一项具有挑战性的任务。近年来，深度卷积神经网络已开始用于遥感应用，并展示了对象像素级分类的最先进性能。在这里，我们为单时间极高分辨率航空图像的语义分割任务提出了一个可靠的高性能结果框架。我们的框架由一个新的深度学习架构 ResUNet-a 和一个基于 Dice 损失的新损失函数组成。 ResUNet-a 使用 UNet 编码器/解码器主干，结合残差连接、atrous 卷积、金字塔场景解析池和多任务推理。 ResUNet-a 依次推断对象的边界、分割掩码的距离变换、分割掩码和输入的彩色重建。每个任务都以先前任务的推理为条件，从而在各种任务之间建立条件关系，正如通过架构的计算图描述的那样。我们分析了几种用于语义分割的广义骰子损失的性能，并为对象的语义分割引入了一种新的变体损失函数，该函数具有出色的收敛性，即使在存在高度不平衡的类的情况下也表现良好。我们的建模框架的性能在 ISPRS 2D Potsdam 数据集上进行评估。结果显示，我们的最佳模型在所有类别中的平均 F1 分数为 92.9%，具有最先进的性能。,10.1016/j.isprsjprs.2020.01.013
用于路面裂缝检测的特征金字塔和分层增强网络,134,2020 APR 2020,路面裂缝检测是确保道路安全的一项关键任务。手动裂纹检测非常耗时。因此，需要一种自动道路裂缝检测方法来推动这一进展。然而，由于裂缝的强度不均匀性和背景的复杂性，它仍然是一项具有挑战性的任务，例如，与周围路面的低对比度和可能具有相似强度的阴影。受计算机视觉深度学习最新进展的启发，我们提出了一种新的网络架构，称为特征金字塔和分层增强网络（FPHBN），用于路面裂缝检测。所提出的网络以特征金字塔的方式将上下文信息集成到用于裂缝检测的低级特征中，并通过在训练期间以分层方式嵌套样本重新加权来平衡简单样本和困难样本对损失的贡献。此外，我们提出了一种新的裂纹检测测量方法，称为平均交叉联合（AIU）。为了证明所提出方法的优越性和普遍性，我们在五个裂缝数据集上对其进行了评估，并将其与最先进的裂缝检测、边缘检测和语义分割方法进行了比较。大量实验表明，所提出的方法在准确性和普遍性方面优于这些方法。代码和数据可以在 https://github.com/fyangneil/pavement-crack-detection 中找到。,10.1109/TITS.2019.2910595
语义分割的对象-上下文表示,121,2020 2020,在本文中，我们研究了语义分割中的上下文聚合问题。由于像素的标签是像素所属对象的类别，我们提出了一种简单而有效的方法，即对象上下文表示，通过利用相应对象类别的表示来表征像素。首先，我们在真实分割的监督下学习对象区域。其次，我们通过聚合位于对象区域中的像素的表示来计算对象区域表示。最后，我们计算每个像素和每个对象区域之间的关系，并使用对象上下文表示增强每个像素的表示，该表示是所有对象区域表示的加权聚合。我们凭经验证明我们的方法在各种基准测试中实现了具有竞争力的性能：Cityscapes、ADE20K、LIP、PASCAL-Context 和 COCO-Stuff。我们的提交 ldquoHRNet + OCR + SegFixrdquo 在 ECCV 2020 提交截止日期前在 Cityscapes 排行榜上获得第一名。代码位于：https://git.io/openseg 和 https://git.io/HRNet.OCR。,10.1007/978-3-030-58539-6_11
SOLO：按位置分割对象,98,2020 2020,我们提出了一种新的、非常简单的实例分割方法。与许多其他密集预测任务（例如语义分割）相比，任意数量的实例使实例分割更具挑战性。为了预测每个实例的掩码，主流方法要么遵循 ldquodetect-then-segmentrdquo 策略（例如，Mask R-CNN），要么先预测嵌入向量，然后使用聚类技术将像素分组到单个实例中。我们通过引入 ldquoinstance categoriesrdquo 的概念，从全新的角度看待实例分割的任务，它根据实例的位置和大小为实例中的每个像素分配类别，从而很好地将实例分割转换为单次分类可解决的问题。我们展示了一个更简单灵活的实例分割框架，具有强大的性能，与 Mask R-CNN 实现了同等的准确性，并且在准确性上优于最近的单次实例分割器。我们希望这个简单而强大的框架可以作为除实例分割之外的许多实例级识别任务的基准。代码可在 https://git.io/AdelaiDet 获得。,10.1007/978-3-030-58523-5_38
用于高分辨率双时相遥感图像变化检测的深度监督图像融合网络,88,2020 AUG 2020,高分辨率遥感图像中的变化检测对于了解地表变化至关重要。由于传统的变化检测方法不适合考虑高分辨率图像中传达的精细图像细节和复杂纹理特征带来的挑战，因此提出了许多基于深度学习的变化检测方法来提高变化检测性能。尽管最先进的基于深度特征的方法优于所有其他基于深度学习的变化检测方法，但现有的基于深度特征的方法中的网络大多是从最初为单图像语义分割提出的架构修改而来的。转移这些网络进行变化检测任务仍然存在一些关键问题。在本文中，我们提出了一种深度监督图像融合网络（IFN），用于高分辨率双时相遥感图像的变化检测。具体来说，首先通过完全卷积的双流架构提取具有高度代表性的双时图像深度特征。然后，将提取的深度特征输入深度监督的差异判别网络（DDN）进行变化检测。为了提高输出变化图中对象的边界完整性和内部紧凑性，通过注意力模块将原始图像的多层深度特征与图像差异特征融合，用于变化图重建。通过直接向网络中的中间层引入变化图损失来进一步增强 DDN，并以端到端的方式训练整个网络。干扰素应用于一个公开可用的数据集，以及一个具有挑战性的数据集，该数据集由来自谷歌地球的多源双时相图像组成，覆盖中国不同城市。视觉解释和定量评估都证实，与最先进的方法相比，IFN 通过返回具有完整边界和高内部紧凑性的变化区域，优于文献中的四种基准方法。,10.1016/j.isprsjprs.2020.06.003
使用深度神经网络从连续驾驶场景中进行稳健的车道检测,80,2020 JAN 2020,驾驶场景中的车道检测是自动驾驶汽车和高级驾驶辅助系统的重要模块。近年来，已经提出了许多复杂的车道检测方法。然而，大多数方法都侧重于从一张图像中检测车道，并且在处理一些极其恶劣的情况（如阴影重、标记退化严重、车辆严重遮挡等）时往往会导致性能不理想。事实上，车道是道路上的连续线结构。因此，在当前帧中无法准确检测到的车道可能会通过合并先前帧的信息来推断出来。为此，我们通过使用连续驾驶场景的多帧来研究车道检测，并通过结合卷积神经网络（CNN）和循环神经网络（RNN）提出了一种混合深度架构。具体来说，每一帧的信息被一个CNN块抽象出来，然后将多个连续帧的CNN特征，具有时间序列的特性，输入RNN块进行特征学习和车道预测。在两个大规模数据集上进行的大量实验表明，所提出的方法在车道检测方面优于其他竞争方法，尤其是在处理困难情况方面。,10.1109/TVT.2019.2949603
用于遥感图像中目标检测的旋转感知和多尺度卷积神经网络,75,2020 MAR 2020,目标检测在遥感影像分析领域发挥着重要作用。推进这项任务最具挑战性的问题是物体尺度的巨大变化和物体的任意方向。在本文中，我们在基于区域的卷积神经网络上构建了一个统一的框架，用于遥感图像中的任意方向和多尺度目标检测。为了处理多尺度目标检测问题，提出了一种特征融合架构来生成多尺度特征层次结构，该架构通过自顶向下的路径将浅层的特征与语义表示相结合，并结合顶层的特征图。通过自下而上的路径具有低级信息的层。通过组合不同层次的特征，我们可以为多尺度对象形成强大的特征表示。大多数以前的方法通过轴对齐的框定位具有任意方向和密集空间分布的对象，这些框可能覆盖相邻的实例和背景区域。我们构建了一个旋转感知对象检测器，它使用定向框来定位遥感图像中的对象。区域提议网络使用多个默认角度增强锚点以覆盖定向对象。它利用定向提议框来包围对象，而不是粗略定位定向对象的水平提议。引入定向 RoI 池化操作以提取定向提议的特征图，用于以下 R-CNN 子网络。我们在公共数据集上进行了综合实验，用于遥感图像中的定向目标检测。我们的方法实现了最先进的性能，这证明了所提出方法的有效性。,10.1016/j.isprsjprs.2020.01.025
SDDNet：实时裂缝分割,71,2020 SEP 2020,本文报告了一种用于分割图像中混凝土裂缝的纯深度学习方法的发展。目标是实现实时性能，同时有效地消除各种复杂背景和裂纹状特征。为了实现这些目标，提出了一种原始的卷积神经网络。该模型由标准卷积、密集连接的可分离卷积模块、改进的空洞空间金字塔池化模块和解码器模块组成。语义损伤检测网络 (SDDNet) 在手动创建的裂纹数据集上进行训练，训练后的网络在测试集上记录了 0.846 的平均交并比。分析每个测试图像，并呈现具有代表性的分割结果。结果表明，除非特征太微弱，否则 SDDNet 片段会有效地破裂。所提出的模型还与最近的模型进行了比较，结果表明它返回了更好的评估指标，尽管它的参数数量是比较模型的 88 倍。此外，该模型处理 1025 x 512 像素的实时 (36 FPS) 图像，比最近的工作快 46 倍。,10.1109/TIE.2019.2945265
