Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Supplement,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration ,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD ","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,UT (Unique ID),Pubmed Id,
J,"Ibtehaz, Nabil; Rahman, M. Sohel",,,,"Ibtehaz, Nabil/AAX-6846-2021; Rahman, Mohammad Sohelur/AAJ-7376-2020","Ibtehaz, Nabil/0000-0003-3625-5972; Rahman, Mohammad Sohelur/0000-0002-4489-2202",,,MultiResUNet : Rethinking the U-Net architecture for multimodal biomedical image segmentation,,,,,,,,NEURAL NETWORKS,,,,121,,,,74,87,,10.1016/j.neunet.2019.08.025,,,,JAN 2020,2020,"In recent years Deep Learning has brought about a breakthrough in Medical Image Segmentation. In this regard, U-Net has been the most popular architecture in the medical imaging community. Despite outstanding overall performance in segmenting multimodal medical images, through extensive experimentations on some challenging datasets, we demonstrate that the classical U-Net architecture seems to be lacking in certain aspects. Therefore, we propose some modifications to improve upon the already state-of-the-art U-Net model. Following these modifications, we develop a novel architecture, MultiResUNet, as the potential successor to the U-Net architecture. We have tested and compared MultiResUNet with the classical U-Net on a vast repertoire of multimodal medical images. Although only slight improvements in the cases of ideal images are noticed, remarkable gains in performance have been attained for the challenging ones. We have evaluated our model on five different datasets, each with their own unique challenges, and have obtained a relative improvement in performance of 10.15%, 5.07%, 2.63%, 1.41%, and 0.62% respectively. We have also discussed and highlighted some qualitatively superior aspects of MultiResUNet over classical U-Net that are not really reflected in the quantitative measures. (C) 2019 Elsevier Ltd. All rights reserved.",,,,,,,,,345,27,0,0,57,0,369,,,0893-6080,1879-2782,,WOS:000500922700008,31536901,
J,"Isensee, Fabian; Jaeger, Paul F.; Kohl, Simon A. A.; Petersen, Jens; Maier-Hein, Klaus H.",,,,"Maier-Hein, Klaus/M-6250-2016","Maier-Hein, Klaus/0000-0002-6626-2463",,,nnU-Net: a self-configuring method for deep learning-based biomedical image segmentation,,,,,,,,NATURE METHODS,,,,18,2,,,203,+,,10.1038/s41592-020-01008-z,,DEC 2020,,FEB 2021,2021,"nnU-Net is a deep learning-based image segmentation method that automatically configures itself for diverse biological and medical image segmentation tasks. nnU-Net offers state-of-the-art performance as an out-of-the-box tool.Biomedical imaging is a driver of scientific discovery and a core component of medical care and is being stimulated by the field of deep learning. While semantic segmentation algorithms enable image analysis and quantification in many applications, the design of respective specialized solutions is non-trivial and highly dependent on dataset properties and hardware conditions. We developed nnU-Net, a deep learning-based segmentation method that automatically configures itself, including preprocessing, network architecture, training and post-processing for any new task. The key design choices in this process are modeled as a set of fixed parameters, interdependent rules and empirical decisions. Without manual intervention, nnU-Net surpasses most existing approaches, including highly specialized solutions on 23 public datasets used in international biomedical segmentation competitions. We make nnU-Net publicly available as an out-of-the-box tool, rendering state-of-the-art segmentation accessible to a broad audience by requiring neither expert knowledge nor computing resources beyond standard network training.",,,,,,,,,305,3,0,0,80,0,309,,,1548-7091,1548-7105,,WOS:000599000100001,33288961,
J,"Minaei, Shahin; Jourkesh, Morteza; Kreider, Richard B.; Forbes, Scott C.; Souza-Junior, Tacito P.; McAnulty, Steven R.; Kalman, Douglas",,,,,"Kalman, Douglas/0000-0003-0882-9748",,,CYP1A2 Genotype Polymorphism Influences the Effect of Caffeine on Anaerobic Performance in Trained Males,,,,,,,,INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM,,,,32,1,,,16,21,,10.1123/ijsnem.2021-0090,,,,JAN 2022,2022,"The purpose was to investigate the effects of CYP1A2 -163C > A polymorphism on the effects of acute caffeine (CAF) supplementation on anaerobic power in trained males. Sixteen trained males (age: 21.6 +/- 7.1 years; height: 179.7 +/- 5.6 cm; body mass: 72.15 +/- 6.8 kg) participated in a randomized, double-blind, placebo (PLA) controlled crossover design. Participants supplemented with CAF (6 mg/kg of body mass) and an isovolumetric PLA (maltodextrin) in random order and separated by 7 days, before an all-out 30-s anaerobic cycling test to determine peak, average, and minimum power output, and fatigue index. Genomic deoxyribonucleic acid was extracted to identify each participants CYP1A2 genotype. Six participants expressed AA homozygote and 10 expressed C alleles. There was a treatment by genotype interaction for peak power output (p = .041, eta 2 = .265, observed power = 0.552) with only those expressing AA genotype showing improvement following CAF supplementation compared with PLA (CAF: 693 +/- 108 watts vs. PLA: 655 +/- 97 watts; p = .039), while no difference between treatments was noted in those expressing C alleles (CAF: 614 +/- 92 watts vs. PLA: 659 +/- 144 watts; p = .135). There were no other interaction or main effects for average or minimum power output, or fatigue index (p > .05). In conclusion, the ingestion of 6 mg/kg of CAF improved peak power output only in participants with the AA genotype compared with PLA; however, expression of the CYP1A2 did not influence average or minimum power output or fatigue index.",,,,,,,,,288,3,1,0,23,0,292,,,1526-484X,1543-2742,,WOS:000732797600004,33596172,
J,"Wang, Jingdong; Sun, Ke; Cheng, Tianheng; Jiang, Borui; Deng, Chaorui; Zhao, Yang; Liu, Dong; Mu, Yadong; Tan, Mingkui; Wang, Xinggang; Liu, Wenyu; Xiao, Bin",,,,"Xiao, Bin/AAL-3936-2020; Liu, Wenyu/AAG-1426-2019","Xiao, Bin/0000-0001-6477-5911; Liu, Wenyu/0000-0002-4582-7488",,,Deep High-Resolution Representation Learning for Visual Recognition,,,,,,,,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,,,,43,10,,,3349,3364,,10.1109/TPAMI.2020.2983686,,,,OCT 1 2021,2021,"High-resolution representations are essential for position-sensitive vision problems, such as human pose estimation, semantic segmentation, and object detection. Existing state-of-the-art frameworks first encode the input image as a low-resolution representation through a subnetwork that is formed by connecting high-to-low resolution convolutions in series (e.g., ResNet, VGGNet), and then recover the high-resolution representation from the encoded low-resolution representation. Instead, our proposed network, named as High-Resolution Network (HRNet), maintains high-resolution representations through the whole process. There are two key characteristics: (i) Connect the high-to-low resolution convolution streams in parallel and (ii) repeatedly exchange the information across resolutions. The benefit is that the resulting representation is semantically richer and spatially more precise. We show the superiority of the proposed HRNet in a wide range of applications, including human pose estimation, semantic segmentation, and object detection, suggesting that the HRNet is a stronger backbone for computer vision problems. All the codes are available at https://github.com/HRNet.",,,,,,,,,266,1,1,0,15,0,267,,,0162-8828,1939-3539,,WOS:000692232400010,32248092,
J,"Guo, Yulan; Wang, Hanyun; Hu, Qingyong; Liu, Hao; Liu, Li; Bennamoun, Mohammed",,,,"; Bennamoun, Mohammed/C-2789-2013; /E-7102-2014","Hanyun, Wang/0000-0002-8320-4230; Bennamoun, Mohammed/0000-0002-6603-3257; Liu, li/0000-0002-2011-2873; hu, qing yong/0000-0003-0337-9207; /0000-0001-7051-841X",,,Deep Learning for 3D Point Clouds: A Survey,,,,,,,,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,,,,43,12,,,4338,4364,,10.1109/TPAMI.2020.3005434,,,,DEC 1 2021,2021,"Point cloud learning has lately attracted increasing attention due to its wide applications in many areas, such as computer vision, autonomous driving, and robotics. As a dominating technique in AI, deep learning has been successfully used to solve various 2D vision problems. However, deep learning on point clouds is still in its infancy due to the unique challenges faced by the processing of point clouds with deep neural networks. Recently, deep learning on point clouds has become even thriving, with numerous methods being proposed to address different problems in this area. To stimulate future research, this paper presents a comprehensive review of recent progress in deep learning methods for point clouds. It covers three major tasks, including 3D shape classification, 3D object detection and tracking, and 3D point cloud segmentation. It also presents comparative results on several publicly available datasets, together with insightful observations and inspiring future research directions.",,,,,,,,,261,3,0,0,6,0,261,,,0162-8828,1939-3539,,WOS:000714203900015,32750799,
J,"Zhou, Zongwei; Siddiquee, Md Mahfuzur Rahman; Tajbakhsh, Nima; Liang, Jianming",,,,"Siddiquee, Mahfuzur Rahman/Q-2418-2019","Liang, Jianming/0000-0001-5486-1613",,,UNet plus plus : Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation,,,,,,,,IEEE TRANSACTIONS ON MEDICAL IMAGING,,,,39,6,,,1856,1867,,10.1109/TMI.2019.2959609,,,,JUN 2020,2020,"The state-of-the-art models for medical image segmentation are variants of U-Net and fully convolutional networks (FCN). Despite their success, these models have two limitations: (1) their optimal depth is apriori unknown, requiring extensive architecture search or inefficient ensemble of models of varying depths; and (2) their skip connections impose an unnecessarily restrictive fusion scheme, forcing aggregation only at the same-scale feature maps of the encoder and decoder sub-networks. To overcome these two limitations, we propose UNet++, a new neural architecture for semantic and instance segmentation, by (1) alleviating the unknown network depth with an efficient ensemble of U-Nets of varying depths, which partially share an encoder and co-learn simultaneously using deep supervision; (2) redesigning skip connections to aggregate features of varying semantic scales at the decoder sub-networks, leading to a highly flexible feature fusion scheme; and (3) devising a pruning scheme to accelerate the inference speed of UNet++. We have evaluated UNet++ using six different medical image segmentation datasets, covering multiple imaging modalities such as computed tomography (CT), magnetic resonance imaging (MRI), and electron microscopy (EM), and demonstrating that (1) UNet++ consistently outperforms the baseline models for the task of semantic segmentation across different datasets and backbone architectures; (2) UNet++ enhances segmentation quality of varying-size objects-an improvement over the fixed-depth U-Net; (3) Mask RCNN++ (Mask R-CNN with UNet++ design) outperforms the original Mask R-CNN for the task of instance segmentation; and (4) pruned UNet++ models achieve significant speedup while showing only modest performance degradation. Our implementation and pre-trained models are available at https://github.com/MrGiovanni/UNetPlusPlus.",,,,,,,,,219,12,0,0,42,0,227,,,0278-0062,1558-254X,,WOS:000544923000007,31841402,
J,"Huang, Lianghua; Zhao, Xin; Huang, Kaiqi",,,,,"Huang, Lianghua/0000-0002-9686-9354; Zhao, Xin/0000-0002-7660-9897",,,GOT-10k: A Large High-Diversity Benchmark for Generic Object Tracking in the Wild,,,,,,,,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,,,,43,5,,,1562,1577,,10.1109/TPAMI.2019.2957464,,,,MAY 1 2021,2021,"We introduce here a large tracking database that offers an unprecedentedly wide coverage of common moving objects in the wild, called GOT-10k. Specifically, GOT-10k is built upon the backbone of WordNet structure [1] and it populates the majority of over 560 classes of moving objects and 87 motion patterns, magnitudes wider than the most recent similar-scale counterparts [19], [20], [23], [26]. By releasing the large high-diversity database, we aim to provide a unified training and evaluation platform for the development of class-agnostic, generic purposed short-term trackers. The features of GOT-10k and the contributions of this article are summarized in the following. (1) GOT-10k offers over 10,000 video segments with more than 1.5 million manually labeled bounding boxes, enabling unified training and stable evaluation of deep trackers. (2) GOT-10k is by far the first video trajectory dataset that uses the semantic hierarchy of WordNet to guide class population, which ensures a comprehensive and relatively unbiased coverage of diverse moving objects. (3) For the first time, GOT-10k introduces the one-shot protocol for tracker evaluation, where the training and test classes are zero-overlapped. The protocol avoids biased evaluation results towards familiar objects and it promotes generalization in tracker development. (4) GOT-10k offers additional labels such as motion classes and object visible ratios, facilitating the development of motion-aware and occlusion-aware trackers. (5) We conduct extensive tracking experiments with 39 typical tracking algorithms and their variants on GOT-10k and analyze their results in this paper. (6) Finally, we develop a comprehensive platform for the tracking community that offers full-featured evaluation toolkits, an online evaluation server, and a responsive leaderboard. The annotations of GOT-10k's test data are kept private to avoid tuning parameters on it.",,,,,,,,,189,15,0,0,4,0,202,,,0162-8828,1939-3539,,WOS:000637533800007,31804928,
J,"Hollon, Todd C.; Pandian, Balaji; Adapa, Arjun R.; Urias, Esteban; Save, Akshay V.; Khalsa, Siri Sahib S.; Eichberg, Daniel G.; D'Amico, Randy S.; Farooq, Zia U.; Lewis, Spencer; Petridis, Petros D.; Marie, Tamara; Shah, Ashish H.; Garton, Hugh J. L.; Maher, Cormac O.; Heth, Jason A.; McKean, Erin L.; Sullivan, Stephen E.; Hervey-Jumper, Shawn L.; Patil, Parag G.; Thompson, B. Gregory; Sagher, Oren; McKhann, Guy M.; Komotar, Ricardo J.; Ivan, Michael E.; Snuderl, Matija; Otten, Marc L.; Johnson, Timothy D.; Sisti, Michael B.; Bruce, Jeffrey N.; Muraszko, Karin M.; Trautman, Jay; Freudiger, Christian W.; Canoll, Peter; Lee, Honglak; Camelo-Piragua, Sandra; Orringer, Daniel A.",,,,"Bruce, Jeffrey N/AAC-5307-2022; Petridis, Petros/Q-5686-2018","Petridis, Petros/0000-0001-7608-5723; Khalsa, Siri Sahib/0000-0003-0800-3866; Hollon, Todd/0000-0001-5987-6531; Orringer, Daniel/0000-0001-6427-8376; Snuderl, Matija/0000-0003-0752-0917",,,Near real-time intraoperative brain tumor diagnosis using stimulated Raman histology and deep neural networks,,,,,,,,NATURE MEDICINE,,,,26,1,,,52,+,,10.1038/s41591-019-0715-9,,,,JAN 2020,2020,"Intraoperative diagnosis is essential for providing safe and effective care during cancer surgery(1). The existing workflow for intraoperative diagnosis based on hematoxylin and eosin staining of processed tissue is time, resource and labor intensive(2,3). Moreover, interpretation of intraoperative histologic images is dependent on a contracting, unevenly distributed, pathology workforce(4). In the present study, we report a parallel workflow that combines stimulated Raman histology (SRH)(5-7), a label-free optical imaging method and deep convolutional neural networks (CNNs) to predict diagnosis at the bedside in near real-time in an automated fashion. Specifically, our CNNs, trained on over 2.5 million SRH images, predict brain tumor diagnosis in the operating room in under 150 s, an order of magnitude faster than conventional techniques (for example, 20-30 min)(2). In a multicenter, prospective clinical trial (n = 278), we demonstrated that CNN-based diagnosis of SRH images was noninferior to pathologist-based interpretation of conventional histologic images (overall accuracy, 94.6% versus 93.9%). Our CNNs learned a hierarchy of recognizable histologic feature representations to classify the major histopathologic classes of brain tumors. In addition, we implemented a semantic segmentation method to identify tumor-infiltrated diagnostic regions within SRH images. These results demonstrate how intraoperative cancer diagnosis can be streamlined, creating a complementary pathway for tissue diagnosis that is independent of a traditional pathology laboratory.A prospective, multicenter, case-control clinical trial evaluates the potential of artificial intelligence for providing accurate bedside diagnosis of patients with brain tumors.",,,,,,,,,164,7,0,0,55,0,168,,,1078-8956,1546-170X,,WOS:000509831900026,31907460,
J,"Diakogiannis, Foivos, I; Waldner, Francois; Caccetta, Peter; Wu, Chen",,,,"Waldner, Francois/AAW-1934-2020; Diakogiannis, Foivos/L-4957-2019","Waldner, Francois/0000-0002-5599-7456; Diakogiannis, Foivos/0000-0002-8788-8174",,,ResUNet-a: A deep learning framework for semantic segmentation of remotely sensed data,,,,,,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,162,,,,94,114,,10.1016/j.isprsjprs.2020.01.013,,,,APR 2020,2020,"Scene understanding of high resolution aerial images is of great importance for the task of automated monitoring in various remote sensing applications. Due to the large within-class and small between-class variance in pixel values of objects of interest, this remains a challenging task. In recent years, deep convolutional neural networks have started being used in remote sensing applications and demonstrate state of the art performance for pixel level classification of objects. Here we propose a reliable framework for performant results for the task of semantic segmentation of monotemporal very high resolution aerial images. Our framework consists of a novel deep learning architecture, ResUNet-a, and a novel loss function based on the Dice loss. ResUNet-a uses a UNet encoder/decoder backbone, in combination with residual connections, atrous convolutions, pyramid scene parsing pooling and multi-tasking inference. ResUNet-a infers sequentially the boundary of the objects, the distance transform of the segmentation mask, the segmentation mask and a colored reconstruction of the input. Each of the tasks is conditioned on the inference of the previous ones, thus establishing a conditioned relationship between the various tasks, as this is described through the architecture's computation graph. We analyse the performance of several flavours of the Generalized Dice loss for semantic segmentation, and we introduce a novel variant loss function for semantic segmentation of objects that has excellent convergence properties and behaves well even under the presence of highly imbalanced classes. The performance of our modeling framework is evaluated on the ISPRS 2D Potsdam dataset. Results show state-of-the-art performance with an average F1 score of 92.9% over all classes for our best model.",,,,,,,,,160,2,0,0,12,0,162,,,0924-2716,1872-8235,,WOS:000527709200008,,
J,"Tamiminia, Haifa; Salehi, Bahram; Mahdianpari, Masoud; Quackenbush, Lindi; Adeli, Sarina; Brisco, Brian",,,,"Tamiminia, Haifa/ABI-3508-2020; Quackenbush, Lindi J./AAZ-4209-2021","Mahdianpari, Masoud/0000-0002-7234-959X; Salehi, Bahram/0000-0002-7742-5475",,,Google Earth Engine for geo-big data applications: A meta-analysis and systematic review,,,,,,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,164,,,,152,170,,10.1016/j.isprsjprs.2020.04.001,,,,JUN 2020,2020,"Google Earth Engine (GEE) is a cloud-based geospatial processing platform for large-scale environmental monitoring and analysis. The free-to-use GEE platform provides access to (1) petabytes of publicly available remote sensing imagery and other ready-to-use products with an explorer web app; (2) high-speed parallel processing and machine learning algorithms using Google's computational infrastructure; and (3) a library of Application Programming Interfaces (APIs) with development environments that support popular coding languages, such as JavaScript and Python. Together these core features enable users to discover, analyze and visualize geospatial big data in powerful ways without needing access to supercomputers or specialized coding expertise. The development of GEE has created much enthusiasm and engagement in the remote sensing and geospatial data science fields. Yet after a decade since GEE was launched, its impact on remote sensing and geospatial science has not been carefully explored. Thus, a systematic review of GEE that can provide readers with the big picture of the current status and general trends in GEE is needed. To this end, the decision was taken to perform a meta-analysis investigation of recent peer-reviewed GEE articles focusing on several features, including data, sensor type, study area, spatial resolution, application, strategy, and analytical methods. A total of 349 peer-reviewed articles published in 146 different journals between 2010 and October 2019 were reviewed. Publications and geographical distribution trends showed a broad spectrum of applications in environmental analyses at both regional and global scales. Remote sensing datasets were used in 90% of studies while 10% of the articles utilized ready-to-use products for analyses. Optical satellite imagery with medium spatial resolution, particularly Landsat data with an archive exceeding 40 years, has been used extensively. Linear regression and random forest were the most frequently used algorithms for satellite imagery processing. Among ready-to-use products, the normalized difference vegetation index (NDVI) was used in 27% of studies for vegetation, crop, land cover mapping and drought monitoring. The results of this study confirm that GEE has and continues to make substantive progress on global challenges involving process of geo-big data.",,,,,,,,,143,9,0,0,24,0,151,,,0924-2716,1872-8235,,WOS:000535696600012,,
